model,l1_C,cv_auc_mean,cv_auc_std,folds
SVM-rbf C=1.0 gamma=0.01,3.0,0.7352,0.0131,"[0.7177, 0.7359, 0.7308, 0.7583, 0.7334]"
SVM-linear C=10.0,0.1,0.735,0.0283,"[0.7019, 0.7362, 0.7491, 0.7797, 0.708]"
SVM-rbf C=10.0 gamma=scale,0.01,0.7344,0.0228,"[0.6995, 0.7246, 0.7684, 0.7455, 0.734]"
SVM-rbf C=10.0 gamma=0.01,3.0,0.7314,0.0158,"[0.7117, 0.7262, 0.7345, 0.7593, 0.7252]"
SVM-linear C=0.1,0.3,0.7298,0.0153,"[0.7043, 0.7224, 0.745, 0.7451, 0.7324]"
LR C=1.0,0.3,0.7224,0.014,"[0.7065, 0.7191, 0.7195, 0.7181, 0.7487]"
SVM-rbf C=10.0 gamma=scale,0.03,0.7188,0.0233,"[0.6819, 0.7444, 0.7145, 0.7434, 0.71]"
SVM-linear C=1.0,0.3,0.7151,0.0145,"[0.7046, 0.695, 0.7296, 0.7128, 0.7333]"
SVM-linear C=0.1,1.0,0.7131,0.0173,"[0.6933, 0.7159, 0.7441, 0.7022, 0.7099]"
LR C=10.0,0.3,0.7115,0.0166,"[0.7003, 0.7043, 0.7038, 0.7044, 0.7445]"
SVM-linear C=0.1,3.0,0.711,0.0194,"[0.6764, 0.7152, 0.7357, 0.7182, 0.7092]"
RF n=500 depth=10,0.01,0.7078,0.0391,"[0.7178, 0.6571, 0.705, 0.7744, 0.685]"
SVM-linear C=10.0,0.3,0.7077,0.0234,"[0.6947, 0.6817, 0.7193, 0.6952, 0.7476]"
RF n=1000 depth=10,0.01,0.707,0.0406,"[0.7164, 0.6542, 0.7099, 0.7749, 0.6795]"
LR C=1.0,3.0,0.703,0.018,"[0.6708, 0.7051, 0.7262, 0.7034, 0.7098]"
LR C=1.0,1.0,0.7003,0.017,"[0.6766, 0.6949, 0.7274, 0.6937, 0.7092]"
LGBM n=300 lr=0.05 leaves=31,0.01,0.696,0.0369,"[0.6654, 0.6622, 0.691, 0.7647, 0.6965]"
LGBM n=300 lr=0.05 leaves=15,0.01,0.6949,0.035,"[0.6591, 0.6697, 0.684, 0.7584, 0.7031]"
RF n=1000 depth=None,0.01,0.6889,0.0427,"[0.7129, 0.6449, 0.6926, 0.754, 0.6403]"
RF n=500 depth=None,0.01,0.688,0.0411,"[0.7169, 0.6451, 0.6894, 0.7477, 0.6409]"
LGBM n=300 lr=0.1 leaves=15,0.01,0.688,0.0389,"[0.6545, 0.6535, 0.6842, 0.7605, 0.6872]"
LR C=10.0,1.0,0.6826,0.0233,"[0.6494, 0.6742, 0.7202, 0.6769, 0.6925]"
LR C=10.0,3.0,0.6822,0.0166,"[0.6554, 0.6889, 0.7056, 0.6754, 0.6859]"
LGBM n=300 lr=0.1 leaves=31,0.01,0.6815,0.0429,"[0.6507, 0.6398, 0.6759, 0.7619, 0.679]"
SVM-linear C=1.0,1.0,0.6799,0.0288,"[0.6651, 0.6588, 0.7248, 0.6487, 0.7022]"
SVM-linear C=10.0,1.0,0.6736,0.025,"[0.6376, 0.6648, 0.7155, 0.6769, 0.6734]"
SVM-linear C=10.0,3.0,0.6656,0.0254,"[0.6523, 0.6824, 0.7029, 0.6289, 0.6617]"
SVM-linear C=1.0,3.0,0.6632,0.0223,"[0.6506, 0.6844, 0.6908, 0.6297, 0.6605]"
