model,l1_C,cv_auc_mean,cv_auc_std,folds
SVM-rbf C=10.0 gamma=scale,1.0,0.7032,0.0367,"[0.6492, 0.6999, 0.6801, 0.748, 0.7387]"
SVM-linear C=10.0,0.1,0.7017,0.0383,"[0.6272, 0.7091, 0.7149, 0.7211, 0.7362]"
LGBM n=300 lr=0.1 leaves=31,0.03,0.7012,0.0361,"[0.6385, 0.7436, 0.7055, 0.6913, 0.7271]"
LGBM n=300 lr=0.1 leaves=15,0.03,0.6998,0.0383,"[0.6332, 0.7409, 0.6872, 0.7065, 0.7314]"
SVM-rbf C=10.0 gamma=scale,0.3,0.6995,0.0212,"[0.6606, 0.7009, 0.705, 0.7251, 0.7058]"
LR C=1.0,0.1,0.6946,0.0328,"[0.6316, 0.6944, 0.7085, 0.7161, 0.7222]"
LR C=10.0,0.1,0.6928,0.0323,"[0.6304, 0.6935, 0.7075, 0.714, 0.7184]"
LR C=0.1,0.3,0.6928,0.0242,"[0.6525, 0.6851, 0.6932, 0.7243, 0.7089]"
SVM-rbf C=10.0 gamma=scale,0.03,0.6922,0.0263,"[0.6477, 0.716, 0.6839, 0.721, 0.6923]"
LGBM n=300 lr=0.05 leaves=15,0.01,0.6882,0.0226,"[0.6683, 0.6588, 0.687, 0.7168, 0.7099]"
LR C=0.1,3.0,0.6856,0.0323,"[0.6354, 0.6692, 0.688, 0.7313, 0.7041]"
LGBM n=300 lr=0.05 leaves=31,0.01,0.6847,0.0224,"[0.6681, 0.6587, 0.6759, 0.7191, 0.7017]"
LR C=0.1,1.0,0.6844,0.0355,"[0.6239, 0.6675, 0.6954, 0.7215, 0.7137]"
SVM-rbf C=10.0 gamma=0.01,0.1,0.6842,0.0297,"[0.6313, 0.6844, 0.6913, 0.7231, 0.6908]"
SVM-linear C=0.1,0.3,0.6831,0.0321,"[0.6472, 0.6646, 0.6788, 0.7424, 0.6825]"
LGBM n=300 lr=0.1 leaves=15,0.01,0.6814,0.0247,"[0.6658, 0.6546, 0.6656, 0.7188, 0.7023]"
LGBM n=300 lr=0.1 leaves=31,0.01,0.6777,0.0292,"[0.653, 0.649, 0.6621, 0.7222, 0.7021]"
SVM-rbf C=10.0 gamma=scale,0.1,0.6735,0.0246,"[0.6327, 0.6788, 0.6623, 0.7043, 0.6896]"
RF n=500 depth=10,0.01,0.6731,0.0459,"[0.6562, 0.6121, 0.6468, 0.7106, 0.7397]"
RF n=1000 depth=10,0.01,0.6729,0.0464,"[0.6566, 0.6107, 0.646, 0.7121, 0.7392]"
LR C=1.0,0.3,0.667,0.0165,"[0.6409, 0.6694, 0.6573, 0.6821, 0.6856]"
SVM-linear C=1.0,0.3,0.6553,0.0242,"[0.6365, 0.6294, 0.6426, 0.6766, 0.6913]"
SVM-linear C=0.1,1.0,0.6547,0.0418,"[0.5893, 0.623, 0.6812, 0.701, 0.679]"
LR C=10.0,0.3,0.6541,0.02,"[0.6221, 0.6509, 0.6477, 0.6701, 0.6799]"
SVM-linear C=0.1,3.0,0.6521,0.0391,"[0.6032, 0.6154, 0.6791, 0.7085, 0.6539]"
RF n=1000 depth=None,0.01,0.6517,0.0543,"[0.6262, 0.5779, 0.6309, 0.6902, 0.7336]"
LR C=1.0,1.0,0.6493,0.0331,"[0.5956, 0.627, 0.6638, 0.6802, 0.6799]"
RF n=500 depth=None,0.01,0.6491,0.0535,"[0.6241, 0.5777, 0.6275, 0.6841, 0.7322]"
LR C=1.0,3.0,0.6458,0.0311,"[0.6012, 0.6197, 0.6651, 0.6867, 0.6565]"
SVM-linear C=10.0,0.3,0.6433,0.021,"[0.6203, 0.6268, 0.6337, 0.6609, 0.6751]"
SVM-linear C=10.0,1.0,0.6417,0.0369,"[0.5783, 0.6246, 0.6534, 0.6765, 0.6756]"
LR C=10.0,1.0,0.6398,0.0389,"[0.5785, 0.6118, 0.6544, 0.68, 0.6744]"
LR C=10.0,3.0,0.635,0.0338,"[0.5913, 0.5979, 0.6581, 0.6747, 0.6527]"
SVM-linear C=1.0,1.0,0.6335,0.0333,"[0.5803, 0.6108, 0.646, 0.6626, 0.668]"
SVM-linear C=1.0,3.0,0.6312,0.0335,"[0.5889, 0.5946, 0.6526, 0.6735, 0.6465]"
SVM-linear C=10.0,3.0,0.6295,0.0359,"[0.577, 0.5954, 0.6544, 0.6634, 0.6572]"
