case_key,vendor,model,spacing_z,thick_mm,th_bin
c0ef5c57da13,GE MEDICAL SYSTEMS,Signa HDxt,4.0,4.0,thick>3.2
34aa3929a491,GE MEDICAL SYSTEMS,Signa HDxt,4.0,4.0,thick>3.2
653b3a54e6eb,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
8335a3656e06,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
c88d90abef4f,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
b1797f4b969d,SIEMENS,Skyra,1.5,1.5,thin<=2.0
3515a658a74d,GE MEDICAL SYSTEMS,Signa HDxt,4.0,4.0,thick>3.2
acc2a244c279,GE MEDICAL SYSTEMS,Signa HDxt,4.0,4.0,thick>3.2
cbfd68c46eec,GE MEDICAL SYSTEMS,Signa HDxt,4.0,4.0,thick>3.2
e1c630f905ea,SIEMENS,Skyra,1.5,1.5,thin<=2.0
cc61a294a750,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
7e0f6d2817eb,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
398e1080e51f,GE MEDICAL SYSTEMS,Signa HDxt,4.0,4.0,thick>3.2
fe628a0311a9,GE MEDICAL SYSTEMS,Signa HDxt,4.0,4.0,thick>3.2
9ee176d7170e,GE MEDICAL SYSTEMS,Signa HDxt,4.0,4.0,thick>3.2
0e63a4f42ee9,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
336270f2d941,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
b5d1b2468e0e,GE MEDICAL SYSTEMS,Signa HDxt,4.0,4.0,thick>3.2
ac1be668c7c8,GE MEDICAL SYSTEMS,Signa HDxt,4.0,4.0,thick>3.2
0556f56699c9,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
559d763808c7,SIEMENS,Skyra,1.5,1.5,thin<=2.0
a58838a4c8d5,GE MEDICAL SYSTEMS,Signa HDxt,4.0,4.0,thick>3.2
aeeb40cf9da8,SIEMENS,Verio,1.5,1.5,thin<=2.0
47af26708883,GE MEDICAL SYSTEMS,Signa HDxt,4.0,4.0,thick>3.2
ed6a01fa6535,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
bf7953e49411,GE MEDICAL SYSTEMS,Signa HDxt,4.0,4.0,thick>3.2
474aa69d4fae,GE MEDICAL SYSTEMS,Signa HDxt,4.0,4.0,thick>3.2
1105e4cfbd3b,SIEMENS,Verio,1.5,1.5,thin<=2.0
b1fcdc67bd91,GE MEDICAL SYSTEMS,Signa HDxt,4.0,4.0,thick>3.2
6711209c72e3,SIEMENS,Skyra,1.5,1.5,thin<=2.0
b579f16d872c,SIEMENS,Skyra,1.5,1.5,thin<=2.0
268df88fbcc3,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
71a29ea05d98,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
f96fed7644a5,GE MEDICAL SYSTEMS,Signa HDxt,4.0,4.0,thick>3.2
a20d4850eaf4,SIEMENS,Skyra,1.5,1.5,thin<=2.0
2100ea78bf28,SIEMENS,Skyra,1.5,1.5,thin<=2.0
650e4284b30c,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
b8c8f6ecb268,GE MEDICAL SYSTEMS,Signa HDxt,4.0,4.0,thick>3.2
350a361299ca,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
214f1516d1ba,SIEMENS,Skyra,1.5,1.5,thin<=2.0
6851755421b5,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
0a68f366533d,SIEMENS,Verio,1.5,1.5,thin<=2.0
