family,n,d_vendor_med,d_vendor_p90,d_thick_med,d_thick_p90,frac_vendor_gt08,frac_thick_gt08
log-sigma-4-0-mm-3D|gldm,14,0.43314183485713503,0.8179035704154762,0.47776332858930415,1.1310081176100526,0.14285714285714285,0.42857142857142855
wavelet-HHL|glrlm,16,0.9349246480112801,1.6682597494655917,0.47379669073483555,1.3818854052987601,0.5625,0.375
log-sigma-3-0-mm-3D|glrlm,16,0.4408654847787088,0.8106064220663411,0.4583118843606291,1.0035408149810978,0.125,0.25
original|glszm,16,0.7085029699532592,1.3902409878404436,0.4350646739217211,1.2105785962682818,0.3125,0.1875
log-sigma-2-0-mm-3D|glcm,24,0.30448277513185423,0.4691920053449276,0.42861765980278393,0.570166761859384,0.0,0.0
wavelet-LLL|glszm,16,0.2564074581837982,1.2026108593712208,0.3983974772773462,0.634335721213598,0.25,0.0625
wavelet-HLL|glszm,16,0.34882622527927165,0.4837001541966869,0.3884587337179198,0.589747420112525,0.0,0.0625
wavelet-HHL|glszm,16,0.31135427107557845,0.5932245493842474,0.38059403068620146,1.54761889994982,0.0,0.4375
log-sigma-5-0-mm-3D|gldm,14,0.38063195374720743,0.7968846180956909,0.37192278417047153,1.0330062678477272,0.14285714285714285,0.35714285714285715
log-sigma-2-0-mm-3D|glrlm,16,0.3609015728475461,0.9461431065832432,0.37151226636855905,0.9809985093948372,0.1875,0.1875
log-sigma-4-0-mm-3D|glrlm,16,0.4512507408126898,0.7360341306168394,0.3646425359881697,1.0742877100464554,0.0625,0.25
log-sigma-5-0-mm-3D|glrlm,16,0.3612162123754804,0.6423120838647873,0.357169006918405,0.9945420690993991,0.0,0.1875
log-sigma-2-0-mm-3D|firstorder,18,0.19547769066993229,0.41080370240484115,0.309860619151142,0.40211393888579067,0.0,0.0
wavelet-LHL|glszm,16,0.30280782921365673,0.44415327327550946,0.30555449162417553,0.46110325257404405,0.0,0.0
wavelet-LLH|glszm,16,0.12113102000058984,0.27903093702427006,0.2908463949949319,0.9520402004277797,0.0,0.1875
log-sigma-3-0-mm-3D|glcm,24,0.14478395462948745,0.2790083192416913,0.2754744386988214,0.5878418469980233,0.0,0.0
wavelet-HHL|ngtdm,5,0.24927030504296155,0.2634208645245594,0.2707300146702301,3.055345917551841,0.0,0.4
wavelet-HLL|ngtdm,5,0.33477428843027857,1.7214198682884962,0.26646912838255193,0.7793994915141083,0.4,0.0
wavelet-HLL|glrlm,16,0.3188423714535552,0.7398281073932511,0.2567469261096631,1.1823398305762391,0.125,0.25
wavelet-LLH|ngtdm,5,0.07527746142050479,1.7309761093126044,0.24272578682490997,8.318720968346144,0.4,0.4
log-sigma-4-0-mm-3D|glcm,24,0.15196962670229708,0.23504937349670782,0.2363022210211938,0.46767076955103815,0.0,0.0
log-sigma-5-0-mm-3D|ngtdm,5,0.047599788657810255,0.12580534140253655,0.2349929008679858,0.28785668511096174,0.0,0.0
wavelet-HHH|ngtdm,5,0.25870361957820315,0.4867873080439042,0.23193419647411126,1.7997027581437992,0.0,0.4
original|shape,14,0.2341880696950723,0.34357821690276996,0.22749309357236464,0.34514373009254434,0.0,0.0
log-sigma-3-0-mm-3D|ngtdm,5,0.049307495847817066,0.2245441100137457,0.2166173870906466,0.5148350122950821,0.0,0.0
log-sigma-1-0-mm-3D|glszm,16,0.15667409757725947,0.3099220881272993,0.20616027415344687,0.5579832555595858,0.0,0.0
